CA	Piston position	D	E	F	G	H	I	J
274.30	47.227							
274.40	47.147							
274.50	47.067							
274.60	46.986							
274.70	46.906							
274.80	46.826							
274.90	46.746							
275.00	46.665							
275.10	46.585							
275.20	46.505							
275.30	46.424							
275.40	46.344							
275.50	46.263							
275.60	46.183							
275.70	46.103							
275.80	46.022							
275.90	45.942							
276.00	45.861							
276.10	45.780							
276.20	45.700							
276.30	45.619							
276.40	45.539							
276.50	45.458							
276.60	45.377							
276.70	45.297							
276.80	45.216							
276.90	45.135							
277.00	45.055							
277.10	44.974							
277.20	44.893							
277.30	44.812							
277.40	44.732							
277.50	44.651							
277.60	44.570							
277.70	44.489							
277.80	44.408							
277.90	44.328							
278.00	44.247							
278.10	44.166							
278.20	44.085							
278.30	44.004							
278.40	43.923							
278.50	43.842							
278.60	43.761							
278.70	43.680							
278.80	43.599							
278.90	43.518							
279.00	43.437							
279.10	43.356							
279.20	43.275							
279.30	43.194							
279.40	43.113							
279.50	43.032							
279.60	42.951							
279.70	42.870							
279.80	42.789							
279.90	42.708							
280.00	42.627							
280.10	42.545							
280.20	42.464							
280.30	42.383							
280.40	42.302							
280.50	42.221							
280.60	42.140							
280.70	42.059							
280.80	41.977							
280.90	41.896							
281.00	41.815							
281.10	41.734							
281.20	41.653							
281.30	41.572							
281.40	41.490							
281.50	41.409							
281.60	41.328							
281.70	41.247							
281.80	41.166							
281.90	41.084							
282.00	41.003							
282.10	40.922							
282.20	40.841							
282.30	40.759							
282.40	40.678							
282.50	40.597							
282.60	40.516							
282.70	40.434							
282.80	40.353							
282.90	40.272							
283.00	40.191							
283.10	40.109							
283.20	40.028							
283.30	39.947							
283.40	39.866							
283.50	39.784							
283.60	39.703							
283.70	39.622							
283.80	39.541							
283.90	39.460							
284.00	39.378							
284.10	39.297							
284.20	39.216							
284.30	39.135							
284.40	39.053							
284.50	38.972							
284.60	38.891							
284.70	38.810							
284.80	38.729							
284.90	38.647							
285.00	38.566							
285.10	38.485							
285.20	38.404							
285.30	38.323							
285.40	38.241							
285.50	38.160							
285.60	38.079							
285.70	37.998							
285.80	37.917							
285.90	37.836							
286.00	37.755							
286.10	37.673							
286.20	37.592							
286.30	37.511							
286.40	37.430							
286.50	37.349							
286.60	37.268							
286.70	37.187							
286.80	37.106							
286.90	37.025							
287.00	36.944							
287.10	36.863							
287.20	36.782							
287.30	36.701							
287.40	36.620							
287.50	36.539							
287.60	36.458							
287.70	36.377							
287.80	36.296							
287.90	36.215							
288.00	36.134							
288.10	36.054							
288.20	35.973							
288.30	35.892							
288.40	35.811							
288.50	35.730							
288.60	35.649							
288.70	35.569							
288.80	35.488							
288.90	35.407							
289.00	35.326							
289.10	35.246							
289.20	35.165							
289.30	35.084							
289.40	35.004							
289.50	34.923							
289.60	34.842							
289.70	34.762							
289.80	34.681							
289.90	34.601							
290.00	34.520							
290.10	34.440							
290.20	34.359							
290.30	34.279							
290.40	34.198							
290.50	34.118							
290.60	34.037							
290.70	33.957							
290.80	33.877							
290.90	33.796							
291.00	33.716							
291.10	33.636							
291.20	33.555							
291.30	33.475							
291.40	33.395							
291.50	33.315							
291.60	33.235							
291.70	33.154							
291.80	33.074							
291.90	32.994							
292.00	32.914							
292.10	32.834							
292.20	32.754							
292.30	32.674							
292.40	32.594							
292.50	32.514							
292.60	32.434							
292.70	32.354							
292.80	32.275							
292.90	32.195							
293.00	32.115							
293.10	32.035							
293.20	31.956							
293.30	31.876							
293.40	31.796							
293.50	31.717							
293.60	31.637							
293.70	31.558							
293.80	31.478							
293.90	31.399							
294.00	31.319							
294.10	31.240							
294.20	31.160							
294.30	31.081							
294.40	31.002							
294.50	30.922							
294.60	30.843							
294.70	30.764							
294.80	30.685							
294.90	30.605							
295.00	30.526							
295.10	30.447							
295.20	30.368							
295.30	30.289							
295.40	30.210							
295.50	30.131							
295.60	30.052							
295.70	29.974							
295.80	29.895							
295.90	29.816							
296.00	29.737							
296.10	29.659							
296.20	29.580							
296.30	29.501							
296.40	29.423							
296.50	29.344							
296.60	29.266							
296.70	29.187							
296.80	29.109							
296.90	29.031							
297.00	28.952							
297.10	28.874							
297.20	28.796							
297.30	28.718							
297.40	28.639							
297.50	28.561							
297.60	28.483							
297.70	28.405							
297.80	28.327							
297.90	28.249							
298.00	28.171							
298.10	28.094							
298.20	28.016							
298.30	27.938							
298.40	27.860							
298.50	27.783							
298.60	27.705							
298.70	27.628							
298.80	27.550							
298.90	27.473							
299.00	27.395							
299.10	27.318							
299.20	27.241							
299.30	27.163							
299.40	27.086							
299.50	27.009							
299.60	26.932							
299.70	26.855							
299.80	26.778							
299.90	26.701							
300.00	26.624							
300.10	26.547							
300.20	26.470							
300.30	26.394							
300.40	26.317							
300.50	26.240							
300.60	26.164							
300.70	26.087							
300.80	26.011							
300.90	25.934							
301.00	25.858							
301.10	25.782							
301.20	25.705							
301.30	25.629							
301.40	25.553							
301.50	25.477							
301.60	25.401							
301.70	25.325							
301.80	25.249							
301.90	25.173							
302.00	25.097							
302.10	25.022							
302.20	24.946							
302.30	24.870							
302.40	24.795							
302.50	24.719							
302.60	24.644							
302.70	24.569							
302.80	24.493							
302.90	24.418							
303.00	24.343							
303.10	24.268							
303.20	24.193							
303.30	24.118							
303.40	24.043							
303.50	23.968							
303.60	23.893							
303.70	23.818							
303.80	23.744							
303.90	23.669							
304.00	23.594							
304.10	23.520							
304.20	23.446							
304.30	23.371							
304.40	23.297							
304.50	23.223							
304.60	23.149							
304.70	23.074							
304.80	23.000							
304.90	22.926							
305.00	22.853							
305.10	22.779							
305.20	22.705							
305.30	22.631							
305.40	22.558							
305.50	22.484							
305.60	22.411							
305.70	22.337							
305.80	22.264							
305.90	22.191							
306.00	22.117							
306.10	22.044							
306.20	21.971							
306.30	21.898							
306.40	21.825							
306.50	21.753							
306.60	21.680							
306.70	21.607							
306.80	21.535							
306.90	21.462							
307.00	21.390							
307.10	21.317							
307.20	21.245							
307.30	21.173							
307.40	21.100							
307.50	21.028							
307.60	20.956							
307.70	20.884							
307.80	20.813							
307.90	20.741							
308.00	20.669							
308.10	20.597							
308.20	20.526							
308.30	20.454							
308.40	20.383							
308.50	20.312							
308.60	20.240							
308.70	20.169							
308.80	20.098							
308.90	20.027							
309.00	19.956							
309.10	19.886							
309.20	19.815							
309.30	19.744							
309.40	19.673							
309.50	19.603							
309.60	19.533							
309.70	19.462							
309.80	19.392							
309.90	19.322							
310.00	19.252							
310.10	19.182							
310.20	19.112							
310.30	19.042							
310.40	18.972							
310.50	18.902							
310.60	18.833							
310.70	18.763							
310.80	18.694							
310.90	18.625							
311.00	18.555							
311.10	18.486							
311.20	18.417							
311.30	18.348							
311.40	18.279							
311.50	18.211							
311.60	18.142							
311.70	18.073							
311.80	18.005							
311.90	17.936							
312.00	17.868							
312.10	17.800							
312.20	17.731							
312.30	17.663							
312.40	17.595							
312.50	17.527							
312.60	17.460							
312.70	17.392							
312.80	17.324							
312.90	17.257							
313.00	17.189							
313.10	17.122							
313.20	17.055							
313.30	16.987							
313.40	16.920							
313.50	16.853							
313.60	16.787							
313.70	16.720							
313.80	16.653							
313.90	16.586							
314.00	16.520							
314.10	16.454							
314.20	16.387							
314.30	16.321							
314.40	16.255							
314.50	16.189							
314.60	16.123							
314.70	16.057							
314.80	15.991							
314.90	15.926							
315.00	15.860							
315.10	15.795							
315.20	15.729							
315.30	15.664							
315.40	15.599							
315.50	15.534							
315.60	15.469							
315.70	15.404							
315.80	15.340							
315.90	15.275							
316.00	15.210							
316.10	15.146							
316.20	15.082							
